Failure : 15, Danger : 15, Collison : 16, Success : 189, Average Reward : -7410.939284805712, Number of steps : 3061
Failure : 14, Danger : 28, Collison : 11, Success : 171, Average Reward : -5771.158163265306, Number of steps : 3071
Failure : 28, Danger : 42, Collison : 11, Success : 108, Average Reward : -7694.809523809524, Number of steps : 2876
Failure : 24, Danger : 58, Collison : 14, Success : 121, Average Reward : -9013.404625566103, Number of steps : 3071
Failure : 20, Danger : 37, Collison : 11, Success : 139, Average Reward : -6652.597511803613, Number of steps : 2954
Failure : 18, Danger : 36, Collison : 8, Success : 132, Average Reward : -5269.784810126583, Number of steps : 3100
Failure : 14, Danger : 25, Collison : 11, Success : 146, Average Reward : -6619.568083359739, Number of steps : 3100
Failure : 14, Danger : 7, Collison : 2, Success : 153, Average Reward : -1369.4970414201184, Number of steps : 3091
Failure : 12, Danger : 17, Collison : 5, Success : 79, Average Reward : -5474.0625, Number of steps : 2403
Failure : 9, Danger : 35, Collison : 7, Success : 67, Average Reward : -8742.722891566265, Number of steps : 2374
Failure : 13, Danger : 37, Collison : 8, Success : 121, Average Reward : -5863.56338028169, Number of steps : 3095
Failure : 7, Danger : 24, Collison : 6, Success : 177, Average Reward : -3320.194736842105, Number of steps : 3081
Failure : 14, Danger : 36, Collison : 3, Success : 157, Average Reward : -1907.2241379310344, Number of steps : 3087
Failure : 6, Danger : 16, Collison : 10, Success : 195, Average Reward : -4882.78672985782, Number of steps : 3085
Failure : 12, Danger : 29, Collison : 5, Success : 164, Average Reward : -2936.033149171271, Number of steps : 3082
Failure : 14, Danger : 50, Collison : 8, Success : 153, Average Reward : -4754.4, Number of steps : 3075
Failure : 13, Danger : 27, Collison : 7, Success : 160, Average Reward : -4057.7555555555555, Number of steps : 2983
Failure : 12, Danger : 26, Collison : 4, Success : 177, Average Reward : -2233.523316062176, Number of steps : 3079
Failure : 8, Danger : 53, Collison : 4, Success : 55, Average Reward : -6452.492537313433, Number of steps : 2927
Failure : 10, Danger : 27, Collison : 8, Success : 187, Average Reward : -4052.151219512195, Number of steps : 3073
Failure : 11, Danger : 55, Collison : 5, Success : 80, Average Reward : -5566.020833333333, Number of steps : 3099
Failure : 6, Danger : 43, Collison : 4, Success : 152, Average Reward : -2665.259259259259, Number of steps : 3087
Failure : 11, Danger : 24, Collison : 11, Success : 116, Average Reward : -8198.90579710145, Number of steps : 3011
Failure : 11, Danger : 34, Collison : 5, Success : 161, Average Reward : -3002.870056497175, Number of steps : 3079
Failure : 9, Danger : 52, Collison : 9, Success : 89, Average Reward : -8732.869158878504, Number of steps : 3186
Failure : 12, Danger : 13, Collison : 3, Success : 214, Average Reward : -1440.3362445414848, Number of steps : 3059
Failure : 13, Danger : 44, Collison : 5, Success : 121, Average Reward : -3832.561151079137, Number of steps : 3089
Failure : 9, Danger : 48, Collison : 7, Success : 120, Average Reward : -5385.073529411765, Number of steps : 3064
Failure : 6, Danger : 35, Collison : 7, Success : 144, Average Reward : -4661.210191082802, Number of steps : 3092
Failure : 7, Danger : 27, Collison : 6, Success : 143, Average Reward : -4049.826923076923, Number of steps : 3096
Failure : 13, Danger : 14, Collison : 5, Success : 183, Average Reward : -2640.8457711442784, Number of steps : 3085
Failure : 7, Danger : 24, Collison : 4, Success : 137, Average Reward : -2919.4864864864867, Number of steps : 3116
Failure : 13, Danger : 12, Collison : 4, Success : 160, Average Reward : -2437.0282485875705, Number of steps : 3093
Failure : 6, Danger : 10, Collison : 2, Success : 197, Average Reward : -1121.5317073170731, Number of steps : 3059
Failure : 9, Danger : 37, Collison : 3, Success : 87, Average Reward : -3336.717171717172, Number of steps : 2831
Failure : 9, Danger : 43, Collison : 7, Success : 82, Average Reward : -7475.734693877551, Number of steps : 3023
Failure : 10, Danger : 5, Collison : 4, Success : 208, Average Reward : -1936.0843209799125, Number of steps : 3067
Failure : 13, Danger : 9, Collison : 8, Success : 197, Average Reward : -3808.9174311926604, Number of steps : 3081
Failure : 7, Danger : 20, Collison : 8, Success : 135, Average Reward : -5544.946666666667, Number of steps : 3092
Failure : 10, Danger : 27, Collison : 5, Success : 83, Average Reward : -5443.0, Number of steps : 3119
Failure : 12, Danger : 11, Collison : 3, Success : 104, Average Reward : -2744.4285714285716, Number of steps : 2557
Failure : 9, Danger : 11, Collison : 3, Success : 211, Average Reward : -1480.2067659334762, Number of steps : 3090
Failure : 11, Danger : 5, Collison : 11, Success : 197, Average Reward : -5160.936073059361, Number of steps : 3089
Failure : 11, Danger : 24, Collison : 8, Success : 153, Average Reward : -4827.825581395349, Number of steps : 2982
Failure : 10, Danger : 4, Collison : 7, Success : 190, Average Reward : -3528.1304347826085, Number of steps : 3084
Failure : 10, Danger : 30, Collison : 6, Success : 91, Average Reward : -5936.5046728971965, Number of steps : 3293
Failure : 7, Danger : 14, Collison : 10, Success : 170, Average Reward : -5511.973262032086, Number of steps : 3080
Failure : 11, Danger : 1, Collison : 5, Success : 222, Average Reward : -2224.747899159664, Number of steps : 3069
Failure : 13, Danger : 15, Collison : 5, Success : 146, Average Reward : -3244.6524390243903, Number of steps : 3132
